"id","vuosi","indeksi","inflaatio","finunit","finconv","tuntiansio","voi","perunat","kahvi","viina","junalippu","sweconv","sweunit","rusconv","rusunit","ukconv","ukunit","usaconv","usaunit","gerconv","gerunit","fraconv","fraunit","finabbr","sweabbr","rusabbr","ukabbr","usaabbr","gerabbr","fraabbr"
"1","1810","0,733","..","Paperirupla","520,251375","0,09","0,461","..","..","..","..","0,318","Riikintaaleri banco","1,000","Paperirupla","0,06208","Punta","..","Dollari","0,64563","Mark banco","..","Frangi","Rub banco","Rdr banco","Rub banco","GBP","USD","M Banco","Fr"
"2","1811","0,652","..","Paperirupla","520,251375","0,09","0,375","..","..","..","..","0,360","Riikintaaleri banco","1,000","Paperirupla","0,05833","Punta","..","Dollari","0,53000","Mark banco","..","Frangi","Rub banco","Rdr banco","Rub banco","GBP","USD","M Banco","Fr"
"3","1812","0,615","..","Paperirupla","520,251375","0,08","0,311","..","..","..","..","0,438","Riikintaaleri banco","1,000","Paperirupla","0,08042","Punta","..","Dollari","0,71625","Mark banco","..","Frangi","Rub banco","Rdr banco","Rub banco","GBP","USD","M Banco","Fr"
"4","1813","0,612","..","Paperirupla","520,251375","0,08","0,345","..","..","..","..","0,456","Riikintaaleri banco","1,000","Paperirupla","0,06500","Punta","..","Dollari","0,66188","Mark banco","..","Frangi","Rub banco","Rdr banco","Rub banco","GBP","USD","M Banco","Fr"
"5","1814","0,646","..","Paperirupla","520,251375","0,08","0,429","..","..","..","..","0,395","Riikintaaleri banco","1,000","Paperirupla","0,05208","Punta","..","Dollari","0,57313","Mark banco","..","Frangi","Rub banco","Rdr banco","Rub banco","GBP","USD","M Banco","Fr"
"6","1815","0,644","..","Paperirupla","520,251375","0,09","0,474","..","..","..","..","0,384","Riikintaaleri banco","1,000","Paperirupla","0,04583","Punta","..","Dollari","0,51813","Mark banco","..","Frangi","Rub banco","Rdr banco","Rub banco","GBP","USD","M Banco","Fr"
"7","1816","0,645","..","Paperirupla","520,251375","0,09","0,427","..","..","..","..","0,463","Riikintaaleri banco","1,000","Paperirupla","0,04167","Punta","..","Dollari","0,55000","Mark banco","..","Frangi","Rub banco","Rdr banco","Rub banco","GBP","USD","M Banco","Fr"
"8","1817","0,700","..","Paperirupla","520,251375","0,09","0,425","..","..","..","..","0,460","Riikintaaleri banco","1,000","Paperirupla","0,04583","Punta","..","Dollari","0,60750","Mark banco","..","Frangi","Rub banco","Rdr banco","Rub banco","GBP","USD","M Banco","Fr"
"9","1818","0,758","..","Paperirupla","520,251375","0,09","0,397","..","..","..","..","0,475","Riikintaaleri banco","1,000","Paperirupla","0,05000","Punta","..","Dollari","0,62438","Mark banco","..","Frangi","Rub banco","Rdr banco","Rub banco","GBP","USD","M Banco","Fr"
"10","1819","0,587","..","Paperirupla","520,251375","0,08","0,386","..","..","..","..","0,505","Riikintaaleri banco","1,000","Paperirupla","0,04583","Punta","..","Dollari","0,58625","Mark banco","..","Frangi","Rub banco","Rdr banco","Rub banco","GBP","USD","M Banco","Fr"
